N,M,correlation,f,class_ordering,n_instances,mean_gap_pct,median_gap_pct,max_gap_pct,win_count,timeout_count
100000,5,strongly,0.75,sequential,35,13.410129646615347,4.723686643025953,58.45294027699557,13,35
100000,5,strongly,0.75,random,35,22.513216709678293,19.687989659422925,82.00456992741417,11,35
100000,5,strongly,0.75,adversarial,35,17.79060757976138,7.888133394804596,77.21158145412778,11,34
100000,10,inversely_strongly,0.1,sequential,35,92.4807727703026,96.396878113933,98.60667444946043,1,34
100000,10,inversely_strongly,0.1,random,35,91.83711215785584,98.08035592104447,98.49926544826627,1,34
100000,10,inversely_strongly,0.1,adversarial,35,0.00439322707697582,0.0,0.15376294769415372,34,35
100000,10,strongly,0.5,sequential,35,10.161454864100127,0.4986924443558613,45.16818253845043,17,35
100000,10,strongly,0.5,random,35,12.12326333964549,0.0,49.57695080536432,18,35
100000,10,strongly,0.5,adversarial,35,40.50761463916857,43.84853094706168,71.57528688409907,0,35
100000,20,inversely_strongly,0.5,sequential,35,88.16934489332363,91.429057080667,98.16140080580644,0,35
100000,20,inversely_strongly,0.5,random,35,87.98177968903602,94.25846245591872,98.23911546213807,0,35
100000,20,inversely_strongly,0.5,adversarial,35,0.0,0.0,0.0,35,35
100000,20,strongly,0.5,sequential,35,15.621458481646362,11.977807480739692,54.58780098550162,15,35
100000,20,strongly,0.5,random,35,10.65963129795675,0.0,57.02707687767449,20,35
100000,20,strongly,0.5,adversarial,35,51.14908859793551,54.88448719071488,71.44898304035947,0,35
100000,20,uncorrelated,0.5,sequential,35,12.33892630789741,0.0,56.2137781058433,20,35
100000,20,uncorrelated,0.5,random,35,64.11705628982571,65.39171842070728,84.19622850631343,0,35
100000,20,uncorrelated,0.5,adversarial,35,16.136336058436864,13.419160076709439,59.237233828082466,15,35
