N,M,correlation,f,n_rows,n_fallbacks,fallback_rate
1000,5,inversely_strongly,0.1,35,0,0.0
1000,5,inversely_strongly,0.25,35,0,0.0
1000,5,inversely_strongly,0.5,35,0,0.0
1000,5,inversely_strongly,0.75,35,0,0.0
1000,5,inversely_strongly,0.9,35,0,0.0
1000,5,strongly,0.1,35,0,0.0
1000,5,strongly,0.25,35,0,0.0
1000,5,strongly,0.5,35,0,0.0
1000,5,strongly,0.75,35,0,0.0
1000,5,strongly,0.9,35,0,0.0
1000,5,uncorrelated,0.1,35,0,0.0
1000,5,uncorrelated,0.25,35,0,0.0
1000,5,uncorrelated,0.5,35,0,0.0
1000,5,uncorrelated,0.75,35,0,0.0
1000,5,uncorrelated,0.9,35,0,0.0
1000,5,weakly,0.1,35,0,0.0
1000,5,weakly,0.25,35,0,0.0
1000,5,weakly,0.5,35,0,0.0
1000,5,weakly,0.75,35,0,0.0
1000,5,weakly,0.9,35,0,0.0
1000,10,inversely_strongly,0.1,35,0,0.0
1000,10,inversely_strongly,0.25,35,0,0.0
1000,10,inversely_strongly,0.5,35,0,0.0
1000,10,inversely_strongly,0.75,35,0,0.0
1000,10,inversely_strongly,0.9,35,0,0.0
1000,10,strongly,0.1,35,0,0.0
1000,10,strongly,0.25,35,0,0.0
1000,10,strongly,0.5,35,0,0.0
1000,10,strongly,0.75,35,0,0.0
1000,10,strongly,0.9,35,0,0.0
1000,10,uncorrelated,0.1,35,0,0.0
1000,10,uncorrelated,0.25,35,0,0.0
1000,10,uncorrelated,0.5,35,0,0.0
1000,10,uncorrelated,0.75,35,0,0.0
1000,10,uncorrelated,0.9,35,0,0.0
1000,10,weakly,0.1,35,0,0.0
1000,10,weakly,0.25,35,0,0.0
1000,10,weakly,0.5,35,0,0.0
1000,10,weakly,0.75,35,0,0.0
1000,10,weakly,0.9,35,0,0.0
1000,20,inversely_strongly,0.1,35,0,0.0
1000,20,inversely_strongly,0.25,35,0,0.0
1000,20,inversely_strongly,0.5,35,0,0.0
1000,20,inversely_strongly,0.75,35,0,0.0
1000,20,inversely_strongly,0.9,35,0,0.0
1000,20,strongly,0.1,35,0,0.0
1000,20,strongly,0.25,35,0,0.0
1000,20,strongly,0.5,35,0,0.0
1000,20,strongly,0.75,35,0,0.0
1000,20,strongly,0.9,35,0,0.0
1000,20,uncorrelated,0.1,35,0,0.0
1000,20,uncorrelated,0.25,35,0,0.0
1000,20,uncorrelated,0.5,35,0,0.0
1000,20,uncorrelated,0.75,35,0,0.0
1000,20,uncorrelated,0.9,35,0,0.0
1000,20,weakly,0.1,35,0,0.0
1000,20,weakly,0.25,35,0,0.0
1000,20,weakly,0.5,35,0,0.0
1000,20,weakly,0.75,35,0,0.0
1000,20,weakly,0.9,35,0,0.0
10000,5,inversely_strongly,0.1,35,0,0.0
10000,5,inversely_strongly,0.25,35,0,0.0
10000,5,inversely_strongly,0.5,35,0,0.0
10000,5,inversely_strongly,0.75,35,0,0.0
10000,5,inversely_strongly,0.9,35,0,0.0
10000,5,strongly,0.1,35,0,0.0
10000,5,strongly,0.25,35,0,0.0
10000,5,strongly,0.5,35,0,0.0
10000,5,strongly,0.75,35,0,0.0
10000,5,strongly,0.9,35,0,0.0
10000,5,uncorrelated,0.1,35,0,0.0
10000,5,uncorrelated,0.25,35,0,0.0
10000,5,uncorrelated,0.5,35,0,0.0
10000,5,uncorrelated,0.75,35,0,0.0
10000,5,uncorrelated,0.9,35,0,0.0
10000,5,weakly,0.1,35,0,0.0
10000,5,weakly,0.25,35,0,0.0
10000,5,weakly,0.5,35,0,0.0
10000,5,weakly,0.75,35,0,0.0
10000,5,weakly,0.9,35,0,0.0
10000,10,inversely_strongly,0.1,35,0,0.0
10000,10,inversely_strongly,0.25,35,0,0.0
10000,10,inversely_strongly,0.5,35,0,0.0
10000,10,inversely_strongly,0.75,35,0,0.0
10000,10,inversely_strongly,0.9,35,0,0.0
10000,10,strongly,0.1,35,0,0.0
10000,10,strongly,0.25,35,0,0.0
10000,10,strongly,0.5,35,0,0.0
10000,10,strongly,0.75,35,0,0.0
10000,10,strongly,0.9,35,0,0.0
10000,10,uncorrelated,0.1,35,0,0.0
10000,10,uncorrelated,0.25,35,0,0.0
10000,10,uncorrelated,0.5,35,0,0.0
10000,10,uncorrelated,0.75,35,0,0.0
10000,10,uncorrelated,0.9,35,0,0.0
10000,10,weakly,0.1,35,0,0.0
10000,10,weakly,0.25,35,0,0.0
10000,10,weakly,0.5,35,0,0.0
10000,10,weakly,0.75,35,0,0.0
10000,10,weakly,0.9,35,0,0.0
10000,20,inversely_strongly,0.1,35,0,0.0
10000,20,inversely_strongly,0.25,35,0,0.0
10000,20,inversely_strongly,0.5,35,0,0.0
10000,20,inversely_strongly,0.75,35,0,0.0
10000,20,inversely_strongly,0.9,35,0,0.0
10000,20,strongly,0.1,35,0,0.0
10000,20,strongly,0.25,35,0,0.0
10000,20,strongly,0.5,35,0,0.0
10000,20,strongly,0.75,35,0,0.0
10000,20,strongly,0.9,35,0,0.0
10000,20,uncorrelated,0.1,35,0,0.0
10000,20,uncorrelated,0.25,35,0,0.0
10000,20,uncorrelated,0.5,35,0,0.0
10000,20,uncorrelated,0.75,35,0,0.0
10000,20,uncorrelated,0.9,35,0,0.0
10000,20,weakly,0.1,35,0,0.0
10000,20,weakly,0.25,35,0,0.0
10000,20,weakly,0.5,35,0,0.0
10000,20,weakly,0.75,35,0,0.0
10000,20,weakly,0.9,35,0,0.0
100000,5,inversely_strongly,0.1,35,0,0.0
100000,5,inversely_strongly,0.25,35,0,0.0
100000,5,inversely_strongly,0.5,35,0,0.0
100000,5,inversely_strongly,0.75,35,0,0.0
100000,5,inversely_strongly,0.9,35,0,0.0
100000,5,strongly,0.1,35,0,0.0
100000,5,strongly,0.25,35,0,0.0
100000,5,strongly,0.5,35,0,0.0
100000,5,strongly,0.75,35,0,0.0
100000,5,strongly,0.9,35,0,0.0
100000,5,uncorrelated,0.1,35,0,0.0
100000,5,uncorrelated,0.25,35,0,0.0
100000,5,uncorrelated,0.5,35,0,0.0
100000,5,uncorrelated,0.75,35,0,0.0
100000,5,uncorrelated,0.9,35,0,0.0
100000,5,weakly,0.1,35,0,0.0
100000,5,weakly,0.25,35,0,0.0
100000,5,weakly,0.5,35,0,0.0
100000,5,weakly,0.75,35,0,0.0
100000,5,weakly,0.9,35,0,0.0
100000,10,inversely_strongly,0.1,35,0,0.0
100000,10,inversely_strongly,0.25,35,0,0.0
100000,10,inversely_strongly,0.5,35,0,0.0
100000,10,inversely_strongly,0.75,35,0,0.0
100000,10,inversely_strongly,0.9,35,0,0.0
100000,10,strongly,0.1,35,0,0.0
100000,10,strongly,0.25,35,0,0.0
100000,10,strongly,0.5,35,0,0.0
100000,10,strongly,0.75,35,0,0.0
100000,10,strongly,0.9,35,0,0.0
100000,10,uncorrelated,0.1,35,0,0.0
100000,10,uncorrelated,0.25,35,0,0.0
100000,10,uncorrelated,0.5,35,0,0.0
100000,10,uncorrelated,0.75,35,0,0.0
100000,10,uncorrelated,0.9,35,0,0.0
100000,10,weakly,0.1,35,0,0.0
100000,10,weakly,0.25,35,0,0.0
100000,10,weakly,0.5,35,0,0.0
100000,10,weakly,0.75,35,0,0.0
100000,10,weakly,0.9,35,0,0.0
100000,20,inversely_strongly,0.1,35,0,0.0
100000,20,inversely_strongly,0.25,35,0,0.0
100000,20,inversely_strongly,0.5,35,0,0.0
100000,20,inversely_strongly,0.75,35,0,0.0
100000,20,inversely_strongly,0.9,35,0,0.0
100000,20,strongly,0.1,35,0,0.0
100000,20,strongly,0.25,35,0,0.0
100000,20,strongly,0.5,35,0,0.0
100000,20,strongly,0.75,35,0,0.0
100000,20,strongly,0.9,35,0,0.0
100000,20,uncorrelated,0.1,35,0,0.0
100000,20,uncorrelated,0.25,35,0,0.0
100000,20,uncorrelated,0.5,35,0,0.0
100000,20,uncorrelated,0.75,35,0,0.0
100000,20,uncorrelated,0.9,35,0,0.0
100000,20,weakly,0.1,35,0,0.0
100000,20,weakly,0.25,35,0,0.0
100000,20,weakly,0.5,35,0,0.0
100000,20,weakly,0.75,35,0,0.0
100000,20,weakly,0.9,35,0,0.0
